input_text,answer
what was tom hanks character name in castaway,Chuck Noland
what engine is in a holden v8 supercar,V8-engine
when did the rational dress society begin to work,1881
what is the baby elephants name in jungle book,Hathi Jr.
who is the biggest selling female group of all time,Spice Girls
where was the first session of the assam association held in1905,Guwahati
when is season 2 of jessica jones being released,"March 8, 2018"
when was united nations convention on the rights of the child created,20 November 1989
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky
who is jared on the bold and the beautiful,Andrew Collins
who wrote knock knock knocking on heavens door,Bob Dylan
who plays chummy's mother in call the midwife,Cheryl Campbell
where do they put the tomb vampires in order to burn them during founders day,the Gilbert building
where is gall bladder situated in human body,beneath the liver
what is the current population of bora bora,"10,605"
which is produced in plants of narora kakrapar tarapur,Atomic Power
what is the first book of percy jackson,The Lightning Thief
who was originally cast to play indiana jones,Tom Selleck
who played amy grant i i can only imagine,Nicole DuPort
who sings the song only in my dreams,Debbie Gibson
who appoints the chair of the federal reserve system,President of the United States
when does body temperature tend to be lowest,11 p.m. to 3 a.m.
what is the function of a political action committee (pac),pools campaign contributions from members
who is president of india in present time,Ram Nath Kovind
what role does the president play in foreign affairs,negotiates treaties with foreign nations
what grade was arnold from hey arnold in,fourth
when does the miz and maryse show start,2018
what is on top of us capitol building,The Statue of Freedom
who made the most free throws in nba history,Karl Malone
why does kerosene oil rise up in the wick of lantern,capillary action
how many episodes of season 5 of curse of oak island,18
how many episodes of touching evil are there,16
hyori bed and breakfast season 2 air date,"February 4, 2018"
who has the most gold medals in the winter olympics of all time,Norway
when is the fourth movie of the divergent series coming out,never made
the outer layer of the skin that contains no blood or nerve supply is the,epidermis
which country has the most coastline in the world,Canada
who won battle of the sexes tennis game,Billie Jean King
who won in the brown vs board of education case,defendants
when did the word of wisdom become mandatory,February 1834
element named after fictional planet from which superman came,Kryptonite
who developed the central processing unit (cpu),John von Neumann
what is katie running from in safe haven,her abusive husband
when did they replace lead with graphite in pencils,never contained the element lead
what started the war between us and japan,attack on Pearl Harbor
when does sam realize he is jim in ghost whisperer,Leap of Faith
what size engine does a 2005 honda civic have,1169 cc
who sang the superbowl national anthem in 2017,Luke Bryan
which country has won maximum number of gold medal in asian game 2014,China
which country is the last member of saarc,Afghanistan
who plays timon in lion king on broadway,Max Casella
what caused the breakup of the democratic republican party,the disputed 1824 presidential election
who has won the most college football national champions,Princeton
what is the meaning of the dragon boat festival,commemorating fealty and filial piety
what was the real name of saudi arabia,the Saudi Arab kingdom
what is the function of the pericardial sac,Lubricates the heart
chris cornell she's going to change the world,Can't Change Me
who played the colorado kid in rio bravo,Ricky Nelson
other than water what else has hydrogen bonds,inorganic molecules such as water
where was when we first met netflix filmed,New Orleans
who was the viceroy when the simon commission visited india,Lord Irwin
when did the united states host the world cup,1994
number 4 in roman numerals on clock faces,IV
who won the super heavyweight gold medal at the 2000 olympics,Audley Harrison
who turns into a bear in the hobbit,Beorn
batman the enemy with episode 5 release date,"March 27, 2018"
yeh hai mohabbatein serial star cast real name,Divyanka Tripathi and Karan Patel
who owns the crown plaza hotel in chicago illinois,InterContinental Hotels Group
when was the last time the eu was audited,1994
the legend of heroes trails in the sky the 3rd vita,"July 14, 2016"
when was a series of unfortunate events published,September 1999
who will win 2018 election in sri lanka,Sri Lanka Podujana Peramuna
what is the name for the ch3coo- ion,polyatomic anion
what type of government did the ming dynasty have,imperial rule
when was rosencrantz and guildenstern are dead written,1966
who sang picking up pebbles and throwing them into the sea,Matt Flinders
how many breeds of pigs are there in the uk,---
who played shmuel in the boy in the striped pyjamas,Jack Scanlon
where is the capital city of alabama located,Montgomery
where is the highest level of fluoride stored in the teeth,surface of the enamel
when was as you like it first performed,1603
when was the latest version of chrome released,2018-01-22
who made delhi as capital for the first time,the Pandavas
who is tinker air force base named after,Major General Clarence L. Tinker
who has the most all ireland hurling medals,Henry Shefflin
who hit the first home run in the houston astrodome,Mickey Mantle
when did the eagles play in the superbowl,"February 6, 2005"
when will fairy tail final season be released,2018
when did seat belts become law in ontario,"January 1, 1976"
when does madea's family funeral come out,2018
who lasted the longest in the royal rumble,Rey Mysterio
what does hp mean in war and order,hit points or health points
who is given credit for the gnu initiative,Richard Stallman
who is edmund on days of our lives,Adam Caine
what is an example of a tricyclic antidepressant,Amineptine
when was the canadian pacific railway started and finished,between 1881 and 1885
who played the creature on jeepers creepers 3,Jonathan Breck
who plays unis in she's the man,Emily Perkins
who played the mom on what's eating gilbert grape,Darlene Cates
sri lanka belongs to which part of asia,South Asia
who plays the dad in nanny mcphee and the big bang,Ewan McGregor
when was the taming ofthe shrew first performed,prior to June 1592
when was the last time giants won superbowl,2011
to transplant a nucleus from one cell to another cell a scientist would use,somatic cell nuclear transfer
who plays general hux in the last jedi,Domhnall Gleeson
when was the last time new zealand had an earthquake,11 Jul 2017
who is the actor that plays dr. sean murphy,Freddie Highmore
who played gino in a place to call home,Aldo Mignone
what does the pearl symbolize in the bible,the Kingdom of Heaven
who holds the world record for the most world records,Ashrita Furman
who is the designer in devil wears prada,Valentino Garavani
where does dividends go on cash flow statement,the financing activities section
when was the 50th star added to the united states flag,1960
what is the ethnic background of the shib sibs,Japanese
who was mr.owen in and then there were none,Justice Lawrence John Wargrave
what season does bart bass die in gossip girl,)
who is the first indian woman to be canonized as a saint,Saint Alphonsa
how many episodes of corrie has there been,"9,436"
when do primary ossification centers appear in an embryo,prenatal development
when was the biltmore house opened to the public,March 1930
where does hydrogen peroxide come from in the body,nearly all living cells
where was the killing of a sacred deer filmed,Cincinnati
who plays hannibal in silence of the lambs,Anthony Hopkins
who plays the dragon queen from game of thrones,Emilia Clarke
when is the publishers clearing house sweepstakes drawing,just after the Super Bowl
who played the elephant man in the film,John Hurt
when is the met office leaving the bbc,31 March 2018
who plays heather in beauty and the beast,Nicole Gale Anderson
who is jack's mother in when calls the heart,Charlotte Thornton
when did the the regulatory reform (fire safety) order 2005 first come into effect,1 October 2006
who was elected president in mexico in 2000,Vicente Fox
when does season 6 of the next step start,2018
abbreviated name of the highest peak in tasmania,Mount Ossa
who played alex cross in along came a spider,Morgan Freeman
who has the most wins on around the horn,Woody Paige
who sang the song i wanna be sedated,the Ramones
what is the setting of the book hoot,Florida
when is season 3 of grace and frankie being released,"March 24, 2017"
what does the sun represent on the uruguay flag,the May Revolution of 1810
why was hong kong important to the british empire,a centre for international trade
when did skiing halfpipe become an olympic event,2014
where was the first colony in north america located,Virginia
during the first world war against which country germany did not fight,Austria-Hungary
product-market fit means being in a good market with a product that can satisfy that market,Mark Andreessen
who does bryce dallas howard play in the grinch,Surprised Who
who plays the robot on the orville show,Mark Jackson
how many wars held between india and pakistan,four
when was the young and the restless first aired,"March 26, 1973"
who has won 2017 women's singles korean open series badminton championship,P. V. Sindhu
what is the full form of cfc's,Chlorofluorocarbons
who does eric end up with in gossip girl,Jenny
when was the first temple built in jerusalem,the mid-10th century BCE
when did the steel mills closed in youngstown ohio,"September 19, 1977"
when was the last time the jets won a playoff game,2010
is it marley and me or marley and i,Marley & Me
when did vat change from 17.5 to 20,4 January 2011
who sings too much time on my hands lyrics,Tommy Shaw
nba record for most double doubles in a season,Tim Duncan
who is super bowl 2018 half time show,Justin Timberlake
who became the king of ayodhya after ram,Kusha
what album is help by the beatles on,Help!
who was the king of england in 1756,George II
where is the left anterior descending artery located,the left coronary artery
who sings every light in the house is on,Trace Adkins
what is the meaning of the harp in ireland,the arms of Ireland
when does like cage season 2 come out,"June 22, 2018"
who is jojo in horton hears a who,Jesse McCartney
this poster was created to increase support for the war effort.the poster links food rationing to,aiding the war effort
when did mcdonald's sell 1 million burgers,By 1965
what are the power of supreme court in the philippines,Justices
when does the last episode of adventure time air,TBA
how many paintings of sunflowers did van gogh paint,two
how many ceos of fortune 500 companies are female,32
where is the orinoco river located on a map,in South America
when was the last time the boston red sox pitched a no-hitter,"May 19, 2008"
who was the french chef given credit for developing the classic kitchen​ brigade,Georges Auguste Escoffier
who plays the dad in pretty in pink,Harry Dean Stanton
when do the new episodes of supernatural start,"May 10, 2018"
who won the award for best goalkeeper in football world cup 2006,Gianluigi Buffon
what is upstream project in oil and gas,drilling exploratory wells
what was the final episode of quantum leap,"""Mirror Image"""
when was the first election held in india,1951–52
who has been appointed as the election commissioner of india,Om Prakash Rawat
who played tom in four weddings and a funeral,James Fleet
where did huntington's disease get its name,the physician George Huntington
when was the last time michigan won the championship,1989
who did deion sanders go in the hall of fame as,Cornerback
who was originally cast as phoebe on charmed,Lori Rom
who turned out to be the mother on how i met your mother,Tracy McConnell
whos jack the ripper in gotham by gaslight,Jacob Packer
who sings the christmas song mary did you know,Michael English
who sang gonna sit right down and write myself a letter,Fats Waller
who picks the players in the nfl draft,each team
when did we first put a rover on mars,January 2004
who won game 4 of the 2000 nba finals,Los Angeles Lakers
when was the last grand slam hit in the world series,2016
when does episode 29 of boruto come out,"October 18, 2017"
what is the origin of the name robinson,English language patronymic surname
how long has it been since eagles went to super bowl,2018
who built the tower of london in 1066,William the Conqueror
who overthrew the mongols and established the ming dynasty,Zhu Yuanzhang
when was the first book made into a movie,1924
when did tim hortons open in the usa,1981
when is the next scandal episode coming out,"February 1, 2018"
where does the ohio river and the mississippi river meet,"Cairo, Illinois"
when did they start assigning social security numbers at birth,1990
what are the names of the hunger games,The Hunger Games
where does safe haven take place in the book,"Southport, North Carolina"
who played jason in friday the 13th the final chapter,Ted White
state the position of india in terms of population size,second
real name of daya in taarak mehta ka ooltah chashmah,Disha Vakani
when does the shape of water book come out,"March 6, 2018"
who discovered that neural communication between cells occurs through chemicals,Charles Sherrington
who may be affected by monetary penalties imposed by the irs,Taxpayers in the United States
where did they film ghosts of girlfriends past,Massachusetts
what was icq as related to instant messaging,an instant messaging client
how many episodes in adventure time season 1,26
when did the us stop drafting for the vietnam war,1973
when will the next episode of flash be aired,"May 15, 2018"
who plays izabella in transformers the last knight,Isabela Moner
when did fender start making amps in mexico,1996
where will be the next olympics be held,Tokyo
name of the boundary line between india and bangladesh,International Border (IB)
what tectonic setting is responsible for the folded mountains of pennsylvania and the high himalaya,a convergent plate boundary
when does dragon ball super episode 130 comes out,"March 18, 2018"
what percentage of the population is naturally blonde,2%
how long did it take to build the great pyramid of egypt,20-year period
where in the constitution is the executive branch referenced,Article Two
who plays mr wilson in dennis the menace,Joseph Sherrard Kearns
when did rob dyrdek's fantasy factory end,"March 5, 2015"
who was the girl in the video brenda got a baby,"Ethel ""Edy"" Proctor"
who discovered that plants were made of cells,Parashara
when did disney art of animation resort open,"May 31, 2012"
do you have to have a gun permit to shoot at a range,"Typically, no"
the area enclosed by hysteresis loop is a measure of,energy loss
when did rachel have her baby on friends,"May 16, 2002"
who has been designed as the new finance secretary of india,Hasmukh Adhia
when did last podcast on the left start,2011
who won first ancient olympic 200 yard race,Coroebus of Elis
who played major hochstetter in hogan's heroes,Howard Caine
who played nicky on the drew carey show,Kate Walsh
who had the most governmental power under the articles of confederation,the states
yo la tengo theres a riot going on release date,"March 16, 2018"
when did athens emerges as wealthiest greek city state,the late 6th century BCE
what us president is the only president to become an eagle scout,Ford
how many episodes are in chicago fire season 4,23
who played maudie in the movie el dorado,Charlene Holt
who does marge's voice on the simpsons,Julie Deborah Kavner
who is the drummer for guns and roses,Frank Ferrer
when did the first junie b jones book come out,1992
who is the number one ranked golfer in the world right now,Dustin Johnson
who plays the mouse in alice in wonderland,Barbara Windsor
which organelle is the site of atp production and storage,mitochondrion
who played gareth in four weddings and a funeral,Simon Callow
where did the term hot rod come from,southern California
when did the military plane crash in mississippi,"July 10, 2017"
who has the most international goals of all time,Ali Daei
who played bat masterson in the movie tombstone,Mason Alan Dinehart
tools made from high-speed tool steel are generally used for what type of machining operations,milling
where does the this is us family live,Pittsburgh
when did fortnite battle royal come out on xbox,September 2017
when do you get your white coat in pharmacy school,before the first year begins
when did the ouija board game come out,"July 1, 1890"
who played desmond doss father in hacksaw ridge,Hugo Weaving
who is the founder of the ubuntu project,Mark Richard Shuttleworth
for complaints of sudden chest pain patients should take a,Aspirin
name the cell which is attached to the lateral side of sieve tube,sieve tube elements
who won the first celebrity big brother on channel 5,Jack Dee
where was the movie strangers prey at night filmed,"Covington, Kentucky"
how did the dominican republic get its name,"patron saint, Saint Dominic"
who played the mother in the black stallion,Teri Garr
when is the end of the football season,"February 4, 2018"
where is geothermal energy used the most in the us,California
when did jack mccoy join law and order,1994
where was the u.s.s maine when it exploded in 1898,Havana Harbor
who sings the original windmills of your mind,Noel Harrison
what color pages in the emergency response guidebook (erg) list compounds by name,blue
what is alpha centauri's approximate distance from earth,4.37 light-years
what is the weight of a honda fit,"1,020–1,080 kg"
when will the 2018 oscar nominations be announced,"January 23, 2018"
who is the father of lucius in gladiator,Lucius Verus
guardians of the galaxy blue guy in prison,Michael Rooker
of which country is sofia the capital city,Bulgaria
what is the legal age for marriage in australia,18
who won women's singles us open 2017,Sloane Stephens
who is the actor that plays jt on the young and the restless,Thaddeus Rowe Luckinbill
who did the mavericks beat in the finals,Miami Heat
is coca cola a public or private company,Public
was star wars a book or a movie first,film
when did beds become popular in france and germany,the 12th century
who owns the golden nugget casino in atlantic city,"Landry's, Inc."
where are the spanish steps located in italy,Rome
who is mostly responsible for writing the declaration of independence,Thomas Jefferson
where did they film woody the woodpecker movie,Canada
what is the second largest country in asia,China
star trek the next generation season 3 episode 24,"""Ménage à Troi"""
what was the alliance between great britian russia and france known as,The Triple Entente
who won the oscar for best actor in 1975,Art Carney
who sings you are a magnet and i am steel,Walter Egan
where is the tv show the curse of oak island filmed,Oak Island
who picks the chief justice of the illinois supreme court,the court
where does the show the path take place,Upstate New York
who was the first territorial governor of oklahoma,George Washington Steele
when does kc undercover season 3 episode 10 air,"November 10, 2017"
who plays the lion in the movie zookeeper,Sylvester Stallone
who is doing 2018 super bowl half time show,Justin Timberlake
which level of weight bearing often comes with a set number of pounds,Partial weight-bearing
who became the it company ceo in 2016,Abid Ali Neemuchwala
who plays genie in ferris bueller's day off,Jennifer Grey
who sang national anthem at the super bowl,Pink
number of films in lord of the rings,three
where do the phaeacians live in the odyssey,Scheria
who scored the most points in a game nba history,Wilt Chamberlain
who started the state of the union address,Woodrow Wilson
when was the last time clemson won the national championship,2016
where did they film season 8 of the walking dead,Georgia
who sings the theme song for living single,Queen Latifah
who plays ivo on once upon a time,Dan Payne
who plays brad pitt's daughter in moneyball,Kerris Lilla Dorsey
who sang the songs in the movie beyond the sea,Kevin Spacey
last world series that didn't go 7 games,2015
who sang our god is an awesome god,Rich Mullins
where's the pro bowl going to be this year,Camping World Stadium in Orlando
who sang the song a white sports coat and a pink carnation,Marty Robbins
who sings the pokemon theme song season 1,Jason Paige
who proclaimed 5th october as world’s teachers day,UNESCO/ILO
who plays reggie the robot in justin's house,Ben Faulks
where was the hindenburg scheduled to fly and how many passengers were on it,36 passengers
who created the pieta and also painted the ceiling of the sistine chapel,Michelangelo
who sings far from the home i love in fiddler on the roof,Hodel
what is the largest city in the united states per square mile,Sitka
who was the mexican commander who surrendered to the texans at the capturing of san antonio,Sanchez Navarro
when is the running of the bulls held in spain,6–14 July
who sang how long has this been going on song,Ace
what was the lowest barometric pressure for hurricane irma,914 mbar (hPa)
when did david akers kick the 63 yard field goal,"September 9, 2012"
who plays the scary nun in the conjuring 2,Bonnie Aarons
season 2 attack on titan how many episodes,12
when did korn's follow the leader come out,"August 18, 1998"
when did the battle of badr take place,13 March 624
how many gallons of water in the gulf of mexico,660 quadrillion US gallons
fast and furious 7 red car abu dhabi,The Lykan Hypersport
when did canada gain independence from great britain,"April 17, 1982"
who unveiled the new coat of arms on 27 april 2000,South Africa
when was 13 reasons why released on netflix,"March 31, 2017"
who plays the principal in santa clarita diet,Thomas Lennon
where is the country music hall of fame located,"Nashville, Tennessee"
how long are the episodes in stranger things season 1,42–62 minutes
what is the number of basic units in the international system of units,seven
who was elected senator of illinois in 1858,Stephen A. Douglas
what is the number of cities in texas,961
who was the 19th c. artist who was both painter and graphic designer,René Georges Hermann-Paul
when was the nobel prize for literature first awarded,1901
who plays the voice of the hormone monster,Nick Kroll
where do most star formation occur in the milky way today,molecular clouds in interstellar space
where does saying bob's your uncle come from,unknown origin
where does the highway of heroes start and end,Glen Miller Road in Trenton
who played tibbs on in the heat of the night,Howard Ellsworth Rollins Jr.
where did the name huey helicopter come from,originally designated HU-1
when were the beatles inducted into the rock and roll hall of fame,1988
what color is the cue ball in pool,white
when does april fools day end at noon,April 1st
what is the rank of pakistan in population,5
who grows the most coffee in the world,Brazil
who plays peter in what we do in the shadows,Ben Fransham
who plays connor's mom in madeas christmas,Kathy Najimy
how long prime minister stay in office canada,four years
what is the movie about six degrees of separation,Six Degrees of Separation
who wrote the text for jeanie with the light brown hair,Stephen Foster
who got the most rings in the nba,Bill Russell
who is the girl in the stone sour video say you'll haunt me,Joanna Moskawa
who did the steelers lose to in the playoffs last year,New England Patriots
who is known as the philippine queen of bossa nova,Sitti Navarro
when's the last time philly won the superbowl,2017
who played ben stone son on law and order,Michael Moriarty
when was the last time university of michigan won a national championship,1997
who sang nice day for a white wedding,Billy Idol
what does g stand for in ncis los angeles,Grisha
who wrote the first declaration of human rights,Cyrus
jharkhand which festival is associated with cattle worship,Sohrai
who was charlie writing to in perks of being a wallflower movie,an unknown recipient
who sings will you still love me when i'm not young and beautiful,Lana Del Rey
where are more than half your bones located,the appendicular skeleton
what does aa on a license plate mean,cars of the royal family
who does the voice of little chef in ratatouille,Ian Holm
in the song i drive your truck who is he talking about,his brother
at what age are you no longer a toddler,36 months
whats the movie called with justin timberlake and time,In Time
a concave mirror can form a real image which is a copy of an object that forms,inverted
when did the first battle of ypres end,22 November 1914
who were farmers who kept a small portion of their crops & gave the rest to the landowners,Sharecropping
who sings you can't get what you want,the Rolling Stones
who plays the beast on the new beauty and the beast,Dan Stevens
who gets the most punishments on impractical jokers,Sal
what is the name of governor of maharashtra,Chennamaneni Vidyasagar Rao
what is the lead singers name of staind,Aaron Lewis
who plays nathan's mother on general hospital,Donna Mills
who supported states rights during the civil war,the Confederacy
who is the actor that plays sneaky pete,Giovanni Ribisi
who sang i want to be bobbys girl,Marcie Blane
where was 2017 beauty and the beast filmed,"Surrey, United Kingdom"
where is dakar located on the world map,Senegal
the duluth model is an intervention program that emphasizes,re-education
where are the first nations located in canada,south of the Arctic
where does puerto rico's power come from,Puerto Rico Electric Power Authority
a synonym for the content component of communication is,information
when was the first ford f 150 made,1975
who votes in the speaker of the house,The House of Representatives
who plays young agent o in mib 3,Alice Eve
when does boomer find out she a cylon,Kobol's Last Gleaming
what's the largest city park in the united states,Franklin Mountains State Park
how many levels of protein structure are there,four
when did university stop being free in australia,1989
panic at the disco song about a wedding,I Write Sins Not Tragedies
how many pages are in the book inside out and back again,263
who plays the dwarf king in the hobbit,Richard Crispin Armitage
when do you declare honors in contract bridge,any time after the auction
what is the name of manchester united stadium,Old Trafford
what is the account number of airtel payment bank,Your Airtel mobile number
what type of boundary was the mexico earthquake,a subduction zone
how long is one full rotation of the earth,about 24 hours
where did the world's largest recorded wave occur,Lituya Bay in Alaska
where does half life 2 episode 2 take place,outside City 17
sequel to a christmas story it runs in the family,My Summer Story
who played bailey in the sisterhood of the traveling pants,Jenna Boyd
when does season 18 of law and order svu start,"September 21, 2016"
where does the term jack mormon come from,"Jackson County, Missouri"
what is the coldest it has ever been in antarctica,−128.6 °F
who is the president of the republic of zambia,Edgar Lungu
in another world with my smartphone japanese title,異世界はスマートフォンとともに
who designed the earth day flag in 1969,John McConnell
when was the last time villanova won the ncaa basketball championship,2018
what is the biggest determinant of climate in venezuela,altitude
the king of kalinga in the mauryan period was,Ashoka
who is the no. 1 ranked tennis player in the world,Rafael Nadal
who does the voice of cruz on cars 3,Cristela Alonzo
who were the the continent of the americas named after logically,Amerigo Vespucci
who is the guy that jumped from space,Felix Baumgartner
when is the next step season 3 coming out,"March 16, 2015"
when did the wall go up in east germany,"), starting on"
who is the longest serving manager in manchester united history,Sir Alex Ferguson
what is bermuda competing in the winter olympics,Cross-country skiing
fictional character whose favorite song was blueberry hill,Richie Cunningham
where is cinque terre italy on a map,"Liguria, Italy"
what is the average height of a chinese man,5 ft 6 in
what is the big gold dome in jerusalem,Dome of the Rock
which philosopher advocated the idea of return to nature,Bacon
what is the genus of a bald eagle,Haliaeetus
who won oscar for best director this month,Guillermo del Toro
who sings love will keep us alive by the eagles,Timothy B. Schmit
where is the university of wisconsin madison located,"Madison, Wisconsin"
a town in west yorkshire on the river aire home to a rugby league team,Castleford
how many seasons of the glades were made,four
who played the mom in the partridge family,Shirley Mae Jones
where are the highest average incomes found in north america,Virginia
what hangs from the trees in the bayou,Spanish moss
where is the food stored in a yam plant,an edible tuber
whens the last time the patriots played the eagles,Super Bowl LII
another name for the torso is the blank region of the body,trunk
who played the oldest brother in 7th heaven,Barry Watson
how many seasons of from dusk till dawn are there,third season
what is the female lion called in lion king,Nala
name of volcano that erupted in iceland in 2010,Eyjafjallajökull
who played young monica in love and basketball,Kyla Pratt
who was the last nba player to get drafted out of high school,Thon Maker
when was the last amendment to the constitution passed,"May 5, 1992"
who has scored the most tries in rugby union,Daisuke Ohata
who is the new york state senate majority leader,John J. Flanagan
who carried the usa flag in opening ceremony,Erin Hamlin
who played dwight's brother on the office,Thomas Middleditch
who was toot toot in the green mile,A trustee
who is the actor who plays king joffrey,Jack Gleeson
when did the nest 3rd generation come out,"September 1, 2015"
how much is a 72 oz steak at the big texan,$72
what are the four requirements to establish criminal liability for gross negligence manslaughter,the defendant breached this duty
who does the voice of alistair in dragon age,Steve Valentine
who coined the phrase let get ready to rumble,Michael Buffer
who is command sergeant major of the army,Daniel A. Dailey
who is in charge of new issues not mentioned in the constitution,Congress
where does trick or treat for unicef money go,UNICEF's global programing
when was the first episode of scooby doo,"September 13, 1969"
to whom do the powers not given to the federal government by the constitution go,the states or the people
which term describes the replacement of damaged cells to mend a tissue,Stromal cells
what process causes the continents to drift apart how,Continental drift
who was the first person to successfully introduce a device exclusively designed for data processing,Herman Hollerith
prior to 1948 north and south vietnam were a part of,France
how many times has south korea held the winter olympics,two
which gene segments code for the variable region of the heavy chain,V
who won the national championship in volleyball 2017,Ohio State
the lowest temperature at which a lubricant will flow is called the,pour point
when was the last time iran had an earthquake,2017-12-20
where is the deepest lake in the us located,Oregon
when did italy enter the second world war,10 June 1940
which state is the richest state in nigeria,Lagos State
how many seasons are in star wars the clone wars,6
how many books are in the diary of a whimpy kid series,12
who played the girl in my two dads,Staci Keanan
who played the judge in good will hunting,James P. Flynn
when is the fa cup semi-finals being played,Wembley Stadium
who won the most medals in the 1924 winter olympics,Norway
when did muhammad ali win an olympic gold medal,1960
what is the largest ethnic group in mexico today,K'iche'
where are the mitochondria located in the sperm,midpiece
what's the highest point in the us,Mount Whitney
who has trained the most melbourne cup winners,Bart Cummings
book series about the end of the world,Left Behind
who sings he thinks he'll keep her,Mary Chapin Carpenter
who sings gone gone gone she been gone so long,Chilliwack
what does it mean when your baby comes out feet first,A footling breech
where was the world economic forum held this year,Davos
who is emma dating in once upon a time,Hook
when does the world cup of hockey start,2020
what is the source of information for account receivables,invoices
where is the villa in call me by your name,Moscazzano
when does a wrinkle in time come out in canada,"March 9, 2018"
new york heart association functional classification of angina,II
when was the movie cool hand luke made,1967
who sings gimme shelter with mick jagger,Merry Clayton
what is a buckeye the mascot for ohio state university,Anthropomorphic buckeye nut
the fellowship of the ring director's cut length,228 minutes
who plays addison shepherd on grey's anatomy,Kathleen Erin Walsh
who won the womens 2017 ncaa basketball tournament,South Carolina
distance from one side of a bridge to the other crossword,span
what does the adrenal gland produce that is necessary for the sympathetic nervous system to function,epinephrine
colby chees is named after a town in what state,Wisconsin
when does season 8 of hawaii five o premiere,"September 29, 2017"
what happens when iron reacts with oxygen and water,Rust
who sang it must have been love but its over now,Roxette
who did the original spirit in the sky,Norman Greenbaum
internet based test of english as a foreign language test,TOEFL
who plays rachel on jessie punch dumped love,Isabella Palmieri
who is the director of nightmare before christmas,Henry Selick
