input_text,answer,context
What is the smallest unit of life?,Cell,Cells are the basic building blocks of all living organisms.
What is the largest organ in the human body?,Skin,The skin protects the body from various external factors.
What is the capital of Italy?,Rome,"Rome is known for its nearly 3,000 years of globally influential art, architecture, and culture."
What is the main ingredient in hummus?,Chickpeas,Hummus is a popular Middle Eastern dip.
Who painted the Sistine Chapel ceiling?,Michelangelo,The ceiling was painted between 1508 and 1512.
What is the currency of the United Kingdom?,Pound sterling,The symbol for pound sterling is £.
Who wrote 'Pride and Prejudice'?,Jane Austen,The novel was first published in 1813.
What is the main gas found in the air we breathe?,Nitrogen,Nitrogen makes up about 78% of the Earth's atmosphere.
What is the capital of Australia?,Canberra,Canberra is located in the southeastern part of the country.
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,She made the flight in 1932.
What is the most abundant element in the universe?,Hydrogen,Hydrogen makes up about 75% of the universe's elemental mass.
What is the largest island in the world?,Greenland,Greenland is an autonomous territory within the Kingdom of Denmark.
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,The novel was published in 1925.
What is the chemical symbol for sodium?,Na,The symbol comes from the Latin word 'natrium.'
What is the capital of Canada?,Ottawa,Ottawa is located in the province of Ontario.
Who discovered America?,Christopher Columbus,He arrived in the Americas in 1492.
What is the smallest planet in our solar system?,Mercury,Mercury is also the closest planet to the sun.
What is the tallest building in the world?,Burj Khalifa,"Located in Dubai, it stands at 828 meters tall."
Who wrote '1984'?,George Orwell,The novel was published in 1949.
What is the main component of the sun?,Hydrogen,Hydrogen is the primary fuel for the sun's nuclear fusion.
What is the capital of Germany?,Berlin,Berlin is Germany's largest city.
What is the largest organ inside the human body?,Liver,The liver performs over 500 vital functions.
Who invented the light bulb?,Thomas Edison,Edison is credited with inventing the first commercially practical incandescent light.
What is the chemical symbol for iron?,Fe,The symbol comes from the Latin word 'ferrum.'
What is the capital of Russia?,Moscow,Moscow is the largest city in Russia.
Who wrote 'Romeo and Juliet'?,William Shakespeare,The play was written in the early stages of his career.
What is the primary language spoken in Brazil?,Portuguese,Brazil is the only Portuguese-speaking country in South America.
What is the largest bone in the human body?,Femur,The femur is located in the thigh.
Who was the first human to journey into outer space?,Yuri Gagarin,"He orbited Earth on April 12, 1961."
What is the primary ingredient in bread?,Flour,"Bread is made from flour, water, and usually yeast or another leavening agent."
What is the main ingredient in sushi?,Rice,Sushi is often made with vinegared rice and various other ingredients like seafood.
What is the capital of China?,Beijing,Beijing is the second most populous city in China.
Who invented the airplane?,Wright brothers,Orville and Wilbur Wright made their first successful flight in 1903.
What is the main ingredient in chocolate?,Cocoa,Cocoa is derived from cocoa beans.
What is the most common blood type?,O+,O+ is the most common blood type among humans.
Who wrote 'Moby-Dick'?,Herman Melville,The novel was published in 1851.
What is the capital of India?,New Delhi,New Delhi is part of the larger metropolis of Delhi.
What is the largest fish in the ocean?,Whale shark,Whale sharks can grow up to 12 meters long.
What is the primary ingredient in beer?,Barley,"Beer is typically made from barley, water, hops, and yeast."
What is the chemical symbol for helium?,He,Helium is the second lightest and second most abundant element in the observable universe.
What is the capital of Spain?,Madrid,Madrid is the third-largest city in the European Union.
Who discovered the law of gravity?,Isaac Newton,Newton formulated the laws of motion and universal gravitation.
What is the primary ingredient in pasta?,Durum wheat,Pasta is typically made from durum wheat semolina.
What is the most abundant gas in Earth's atmosphere?,Nitrogen,Nitrogen makes up about 78% of the Earth's atmosphere.
Who wrote 'The Odyssey'?,Homer,The Odyssey is one of two major ancient Greek epic poems attributed to Homer.
What is the capital of Mexico?,Mexico City,Mexico City is the largest city in Mexico.
Who developed the theory of evolution?,Charles Darwin,Darwin published 'On the Origin of Species' in 1859.
What is the primary ingredient in vodka?,Grains or potatoes,Vodka is typically distilled from grains or potatoes.
What is the chemical symbol for carbon?,C,Carbon is the fourth most abundant element in the universe by mass.
What is the capital of South Korea?,Seoul,Seoul is the largest metropolis in South Korea.
Who discovered radioactivity?,Henri Becquerel,He discovered radioactivity in 1896.
What is the main ingredient in butter?,Cream,Butter is made from churning cream.
What is the most common element in the human body?,Oxygen,Oxygen makes up about 65% of the human body by mass.
Who wrote 'War and Peace'?,Leo Tolstoy,The novel was first published in 1869.
What is the capital of Egypt?,Cairo,Cairo is the largest city in the Arab world.
What is the largest animal on Earth?,Blue whale,Blue whales can grow up to 30 meters in length.
What is the primary ingredient in cheese?,Milk,Cheese is made from curdled milk.
What is the chemical symbol for silver?,Ag,The symbol comes from the Latin word 'argentum.'
What is the capital of Brazil?,Brasília,Brasília was officially inaugurated as the capital in 1960.
Who wrote 'The Catcher in the Rye'?,J.D. Salinger,The novel was published in 1951.
What is the main ingredient in pizza dough?,Flour,"Pizza dough is typically made from flour, water, yeast, and salt."
What is the main ingredient in ice cream?,Milk,"Ice cream is made from milk, cream, sugar, and flavorings."
Who painted 'Starry Night'?,Vincent van Gogh,The painting was created in 1889.
What is the largest continent?,Asia,Asia covers about 30% of the world's land area.
What is the chemical symbol for potassium?,K,The symbol comes from the Latin word 'kalium.'
What is the primary ingredient in tofu?,Soybeans,Tofu is made by coagulating soy milk and then pressing the resulting curds.
Who discovered the electron?,J.J. Thomson,He discovered the electron in 1897.
What is the capital of Greece?,Athens,Athens is one of the world's oldest cities.
What is the most populous country in the world?,China,China has a population of over 1.4 billion people.
What is the capital of Japan?,Tokyo,Tokyo is the most populous city in Japan.
